Date/Time,Word Count,en,ko
2026.03.16-01.37.15,5,0,5
2026.03.16-01.38.20,6,0,6
2026.03.16-02.18.12,55,6,55
2026.03.16-04.09.15,111,33,111
2026.03.16-04.10.37,109,33,109
2026.03.16-04.16.52,109,68,109
2026.03.16-04.20.46,106,71,106
2026.03.16-04.23.01,106,78,106
2026.03.16-04.36.40,106,80,106
2026.03.16-04.40.49,108,78,108
2026.03.16-04.48.06,76,54,76
2026.03.16-04.53.32,71,49,71
2026.03.16-04.56.42,76,49,76
2026.03.16-05.04.49,104,50,104
2026.03.16-05.17.03,104,82,104
2026.03.16-05.24.02,113,82,113
2026.03.16-05.37.17,113,89,113
2026.03.16-05.37.54,111,89,111
2026.03.16-19.33.00,115,89,115
2026.03.16-19.33.56,112,89,112
2026.03.16-19.35.01,111,89,111
2026.03.16-20.06.30,352,89,352
2026.03.16-20.07.26,347,89,347
2026.03.16-20.20.54,299,80,299
2026.03.16-20.33.52,299,130,299
2026.03.20-03.40.47,377,126,377
2026.03.20-03.50.57,377,359,377
2026.03.20-03.56.04,377,377,377
2026.03.20-04.06.26,378,377,378
2026.03.20-04.07.10,378,378,378
2026.03.20-04.31.47,385,357,385
2026.03.20-04.33.22,385,364,385
2026.03.20-04.34.16,385,385,385
